picture,unworthy,web,price,describe,web_url,worthy,title
http://www.smzdm.com/p/6538286/,1,亚马逊中国,3999元包邮,双面可躺，适中偏硬，直降好价~,http://go.smzdm.com/1f511a1d93867b1c/ca_aa_yh_37_6538286_403_32057_49/n8FVCVuW87AD,1,"dataLayer.push({'event':'值得买_精选_图文','文章标题':'Slumberland 斯林百兰 温度智慧-舒适版 独立弹簧床垫 180*200cm','位置':'1'})"
http://www.smzdm.com/p/6538525/,26,京东,100-5/200-8/400-18,,http://go.smzdm.com/e08a0d2432555631/ca_aa_yh_27_6538525_792_0_0/WPFvCxuOZQNx,4,"dataLayer.push({'event':'值得买_精选_图文','文章标题':'限华南：京东 全品类优惠券','位置':'2'})"
http://www.smzdm.com/p/6538359/,3,亚马逊中国,253.5元包邮（2件7.5折）,30分钟就能让你的被子暖暖的（咦，还省了一个暖床的汉子呢~）,http://go.smzdm.com/8cbb55ac85e87173/ca_aa_yh_27_6538359_751_5419_31/yEFNCZubX4dj,21,"dataLayer.push({'event':'值得买_精选_图文','文章标题':'IRIS 爱丽思 日本暖被机衣物烘干机 FTK-270','位置':'3'})"
http://www.smzdm.com/p/6535700/,3,天猫精选,3150元包邮（下单立减）, 群晖NAS网络存储，好价来袭~,http://detail.tmall.com/item.htm?id=523808985835,11,"dataLayer.push({'event':'值得买_精选_图文','文章标题':'Synology 群晖 DS416 企业级 NAS网络存储','位置':'4'})"
http://www.smzdm.com/p/6538521/,1,天猫国际,307元包邮（35元定金，11.11需用券付尾款）,特含专利益生元组合，有效改善便秘，含税低至102元/件。,https://item.taobao.com/item.htm?id=539089044380,8,"dataLayer.push({'event':'值得买_精选_图文','文章标题':'双11预售：Aptamil 爱他美 金装加强型婴幼儿配方奶粉 4段 900g*3罐','位置':'5'})"
http://www.smzdm.com/p/6538256/,4,京东,39.9元,套装入手，刚需好价。,http://go.smzdm.com/3e2995baef74cce5/ca_aa_yh_113_6538256_475_1045_129/yEFNCZubX4WX,12,"dataLayer.push({'event':'值得买_精选_图文','文章标题':'LION 狮王 细齿洁 炭能量牙刷*8支 +赠品','位置':'6'})"
http://www.smzdm.com/p/6538435/,0,FEELUNIQUE官网,£27.2（需用券，约￥225）,清透自然，丝润保湿，2色可选，近期好价~,http://go.smzdm.com/7170eba7c50b009f/ca_aa_yh_113_6538435_848_1199_123/eDFGCRuNjzB5,11,"dataLayer.push({'event':'值得买_精选_图文','文章标题':'BURBERRY 博柏利 丝柔亮彩粉底液 30ml','位置':'7'})"
http://www.smzdm.com/p/6538389/,3,百联网上商城,299元包邮,便携时尚卖萌机，使用优质的一次成像迷你胶片。,http://go.smzdm.com/b045cb4b6acc1d52/ca_aa_yh_163_6538389_801_1509_169/n8FVCVuW87x7,10,"dataLayer.push({'event':'值得买_精选_图文','文章标题':'FUJIFILM 富士 instax mini 7S 拍立得相机','位置':'8'})"
http://www.smzdm.com/p/6538432/,3,天猫国际,49元包邮（定金10元，11.11付尾款）,可可固体含量不少于85%，可可脂含量50%~,http://item.taobao.com/item.htm?id=529770138999&skuId=3195517491805,15,"dataLayer.push({'event':'值得买_精选_图文','文章标题':'双11预售：HEIDI 赫蒂 85%可可 特浓黑巧克力80G*6块','位置':'9'})"
http://www.smzdm.com/p/6538089/,1,网易考拉海购,259元包邮包税（需领券，279-20）,13L容量，适合露营徒步，6色可选~,http://go.smzdm.com/c95a2ad3c8eb6e40/ca_aa_yh_57_6538089_481_2105_137/xAFYCou48B27,13,"dataLayer.push({'event':'值得买_精选_图文','文章标题':'OSPREY Daylite 日光 13L 双肩背包','位置':'10'})"
